userId,movieId,tag,timestamp
791,1,Owned,1515175493
1048,1,imdb top 250,1172144394
1361,1,Pixar,1216146311
3164,1,Pixar,1223304727
3164,1,time travel,1223304729
3448,1,children,1492701854
3448,1,comedy,1492701863
3448,1,funny,1492701851
3448,1,witty,1492701861
4676,1,rated-G,1137424344
4693,1,animation,1247554120
4693,1,Pixar,1247554116
5054,1,computer animation,1433533200
5054,1,good cartoon chindren,1433533217
5054,1,pixar,1433533206
5571,1,friendship,1431716267
6285,1,bright,1173304070
6285,1,DARING RESCUES,1173304095
6285,1,fanciful,1173304058
6285,1,HEROIC MISSION,1173304102
6285,1,humorous,1173304049
6285,1,light,1173304062
6285,1,rousing,1173304074
6285,1,TOYS COME TO LIFE,1173304091
6285,1,UNLIKELY FRIENDSHIPS,1173304106
6285,1,warm,1173304052
6285,1,witty,1173304077
6448,1,animation,1470206081
6448,1,Disney,1470206083
6448,1,friendship,1470206117
6448,1,pixar,1470206078
6550,1,boy,1528513459
6550,1,boy next door,1528513459
6550,1,bullying,1528513459
6550,1,friends,1528513459
6550,1,friendship,1528513459
6550,1,jealousy,1528513459
6550,1,martial arts,1528513459
6550,1,mission,1528513459
6550,1,neighborhood,1528513459
6550,1,new toy,1528513459
6550,1,pixar,1526680144
6550,1,rescue,1528513459
6550,1,resourcefulness,1528513459
6550,1,rivalry,1528513459
6550,1,toy,1528513459
6550,1,toy comes to life,1528513459
6550,1,walkie talkie,1528513459
7528,1,clever,1144451329
7570,1,animation,1504979722
7570,1,clever,1504979728
7570,1,friendship,1504979718
7570,1,funny,1504979724
7570,1,Tom Hanks,1504979720
7570,1,witty,1504979733
8689,1,pixar,1443906050
9826,1,Pixar,1453322633
9826,1,toys,1453322706
10231,1,animation,1473406867
10231,1,fun,1473406886
13272,1,children,1478892240
13788,1,pixar,1447344160
13788,1,Tom Hanks,1447344166
14116,1,dolls,1339335136
14116,1,National Film Registry,1228239042
15204,1,adventure,1555780651
15204,1,animated,1555780653
15204,1,animation,1306926135
15204,1,cgi,1555780670
15204,1,comedy,1555780650
15204,1,Disney,1555780632
15204,1,family,1555780647
15204,1,fantasy,1306926130
15204,1,friendship,1555780645
15204,1,imdb top 250,1555780662
15204,1,Pixar,1306926133
15204,1,Tom Hanks,1555780641
15204,1,witty,1555780648
15563,1,classic,1516156298
15563,1,pixar,1516156291
15563,1,witty,1516156302
16874,1,Pixar,1249841627
17069,1,funny,1139521415
19663,1,animated,1527382827
19663,1,comedy,1527382824
19663,1,Disney,1527382819
19663,1,fun,1527382830
19663,1,funny,1527382833
19663,1,pixar,1527382815
20346,1,animated,1312088976
20346,1,animation,1312088979
20346,1,children,1312088964
20346,1,comedy,1312088984
20346,1,fantasy,1312088987
20346,1,funny,1312088970
20346,1,humorous,1312088973
20346,1,Pixar,1312088967
20346,1,time travel,1312088989
21096,1,Pixar,1244766522
21726,1,Pixar,1268630966
21726,1,Tom Hanks,1268630966
22655,1,animation,1313154708
22655,1,fun,1313154717
25439,1,animation,1137316553
25439,1,cgi,1137316553
25677,1,family,1566310984
26245,1,animation,1242279795
26245,1,Pixar,1242279793
27266,1,Watched,1417736680
28493,1,Pixar,1387079572
28493,1,witty,1387079576
28633,1,animation,1565980090
28870,1,animation,1528842677
28870,1,classic,1528842699
28870,1,clever,1528842702
28870,1,comedy,1528842686
28870,1,computer animation,1528842684
28870,1,Disney,1528842680
28870,1,friendship,1528842693
28870,1,funny,1528842682
28870,1,pixar,1528842674
28870,1,witty,1528842691
30178,1,action figure,1140447535
30178,1,action figures,1140447535
30178,1,Buzz Lightyear,1140447535
30178,1,CG animation,1140447535
30178,1,toy,1140447535
30178,1,toys,1140447535
30178,1,Woody,1140447535
30442,1,Disney,1291342460
30610,1,animation,1528125608
30610,1,Disney,1528125604
30813,1,Pixar,1152718511
31020,1,animation,1290312028
31020,1,family,1290312032
31020,1,Tom Hanks,1290312036
35058,1,Pixar,1325781356
36159,1,Disney,1437927776
36159,1,friendship,1437927794
36159,1,nostalgic,1437927807
36312,1,computer animation,1243748512
36312,1,Disney,1243748499
36312,1,fantasy,1243748536
36312,1,Pixar,1243748502
36312,1,toys,1243748532
36312,1,witty,1243748527
36535,1,Tim Allen,1158439344
36535,1,time travel,1161646277
37621,1,children,1530666129
37928,1,Disney,1468882286
37928,1,pixar,1468882280
38203,1,childish,1466541556
38287,1,animation,1558039923
38287,1,Disney,1558039899
38287,1,friendship,1558039910
38287,1,imdb top 250,1558039916
38287,1,Pixar,1558039895
38287,1,witty,1558039927
38612,1,animation,1253632651
38612,1,Pixar,1253632645
38672,1,animation,1422605756
38672,1,friendship,1422605756
38672,1,toys,1422605756
39742,1,pixar,1140403371
40187,1,buddy movie,1271465930
40187,1,Tom Hanks,1271465933
40187,1,witty,1271465935
40370,1,animation,1428239638
40370,1,children,1428239638
40370,1,toys,1428239638
41275,1,animation,1320784713
41275,1,comedy,1320784716
41275,1,funny,1320784730
41275,1,imdb top 250,1320784725
41275,1,Pixar,1320784719
42022,1,adventure,1301513212
42022,1,children,1301513206
42022,1,family,1301513201
42022,1,funny,1301513196
42585,1,3D,1173686898
42923,1,adventure,1330111375
42923,1,children,1330111320
42923,1,classic,1330111356
42923,1,computer animation,1330111311
42923,1,Disney,1330111309
42923,1,funny,1330111314
42923,1,Pixar,1330111306
42923,1,Tim Allen,1330111347
